window_end_ts,p50_ingest_ms,p95_ingest_ms,p50_feature_ms,p95_feature_ms
2025-08-15T10:00:03+00:00,0.07,0.35,509.4,950.58
2025-08-15T10:00:03+00:00,0.06,0.12,510.06,958.09
2025-08-15T10:00:03+00:00,0.07,0.35,513.29,950.58
2025-08-15T10:00:03+00:00,0.06,0.12,514.6,952.26
2025-08-15T10:00:03+00:00,0.06,0.1,504.1,952.3
2025-08-15T10:00:03+00:00,0.07,0.57,501.47,941.05
2025-08-15T10:00:03+00:00,0.06,0.14,507.62,960.21
2025-08-15T10:00:03+00:00,0.07,0.15,500.96,945.33
2025-08-15T10:00:03+00:00,0.08,0.63,502.03,953.16
2025-08-15T10:00:03+00:00,0.06,0.11,504.9,948.64
2025-08-15T10:00:03+00:00,0.06,0.11,503.91,945.53
2025-08-15T10:00:03+00:00,0.06,0.11,505.47,952.93
2025-08-15T10:00:03+00:00,0.08,0.41,506.25,950.07
2025-08-15T10:00:03+00:00,0.06,0.13,509.48,951.35
2025-08-15T10:00:03+00:00,0.06,0.16,506.77,946.27
2025-08-15T10:00:03+00:00,0.07,0.12,509.88,960.64
2025-08-15T10:00:03+00:00,0.07,0.43,508.53,940.25
2025-08-15T10:00:03+00:00,0.06,0.1,511.39,953.78
2025-08-15T10:00:03+00:00,0.06,0.11,502.66,950.12
2025-08-15T10:00:03+00:00,0.06,0.13,514.07,949.76
2025-08-15T10:00:03+00:00,0.06,0.49,500.02,949.11
2025-08-15T10:00:03+00:00,0.06,0.13,509.32,961.07
2025-08-15T10:00:03+00:00,0.06,0.12,506.86,951.94
2025-08-15T10:00:03+00:00,0.06,0.1,510.61,952.5
2025-08-15T10:00:03+00:00,0.06,0.43,517.54,955.65
2025-08-15T10:00:03+00:00,0.06,0.15,501.27,945.72
2025-08-15T10:00:03+00:00,0.06,0.14,512.48,952.29
2025-08-15T10:00:03+00:00,0.06,0.11,516.29,955.75
2025-08-15T10:00:03+00:00,0.06,0.44,499.24,946.06
2025-08-15T10:00:03+00:00,0.06,0.1,494.03,947.1
2025-08-15T10:00:03+00:00,0.06,0.1,513.46,950.05
2025-08-15T10:00:03+00:00,0.08,0.3,512.2,950.39
2025-08-15T10:00:03+00:00,0.12,1.6,504.84,957.02
2025-08-15T10:00:03+00:00,0.1,0.2,517.73,957.63
2025-08-15T10:00:03+00:00,0.06,0.2,502.37,946.99
2025-08-15T10:00:03+00:00,0.05,0.1,503.51,945.34
2025-08-15T10:00:03+00:00,0.09,0.44,512.3,948.54
2025-08-15T10:00:03+00:00,0.05,0.11,515.76,954.36
2025-08-15T10:00:03+00:00,0.07,0.65,499.49,954.43
2025-08-15T10:00:03+00:00,0.06,0.11,504.27,951.15
2025-08-15T10:00:03+00:00,0.06,0.1,510.73,955.73
2025-08-15T10:00:03+00:00,0.06,0.1,500.51,943.13
2025-08-15T10:00:03+00:00,0.08,0.48,506.04,949.46
2025-08-15T10:00:03+00:00,0.06,0.12,501.29,956.04
2025-08-15T10:00:03+00:00,0.06,0.11,510.14,949.77
2025-08-15T10:00:03+00:00,0.07,0.14,502.4,950.22
2025-08-15T10:00:03+00:00,0.08,0.38,504.44,956.28
2025-08-15T10:00:03+00:00,0.06,0.1,507.25,949.61
2025-08-15T10:00:03+00:00,0.06,0.1,500.6,947.91
2025-08-15T10:00:03+00:00,0.07,0.37,503.48,948.12
2025-08-15T10:00:03+00:00,0.05,0.09,502.28,949.9
2025-08-15T10:00:03+00:00,0.07,0.12,504.41,956.53
2025-08-15T10:00:03+00:00,0.07,0.86,499.89,950.87
2025-08-15T10:00:03+00:00,0.06,0.11,497.59,947.77
2025-08-15T10:00:03+00:00,0.06,0.11,507.33,952.51
2025-08-15T10:00:03+00:00,0.07,0.45,503.46,956.29
2025-08-15T10:00:03+00:00,0.06,0.1,496.28,944.35
2025-08-15T10:00:03+00:00,0.06,0.13,510.85,953.39
2025-08-15T10:00:03+00:00,0.06,0.46,516.92,946.6
2025-08-15T10:00:03+00:00,0.06,0.15,514.33,954.04
2025-08-15T10:00:03+00:00,0.06,0.1,502.05,950.21
2025-08-15T10:00:03+00:00,0.06,0.11,506.35,950.75
2025-08-15T10:00:03+00:00,0.06,0.56,503.53,952.66
2025-08-15T10:00:03+00:00,0.06,0.11,510.73,958.29
2025-08-15T10:00:03+00:00,0.06,0.1,503.4,942.91
2025-08-15T10:00:03+00:00,0.07,0.46,506.41,954.33
2025-08-15T10:00:03+00:00,0.06,0.11,509.37,947.49
2025-08-15T10:00:03+00:00,0.06,0.11,509.73,960.76
2025-08-15T10:00:03+00:00,0.08,0.62,503.25,949.52
2025-08-15T10:00:03+00:00,0.06,0.14,504.35,948.38
2025-08-15T10:00:03+00:00,0.06,0.14,506.65,951.57
2025-08-15T10:00:03+00:00,0.06,0.38,503.11,950.15
2025-08-15T10:00:03+00:00,0.05,0.1,504.26,951.85
2025-08-15T10:00:03+00:00,0.06,0.1,512.97,952.96
2025-08-15T10:00:03+00:00,0.07,0.15,520.74,962.96
2025-08-15T10:00:03+00:00,0.07,0.41,500.33,942.91
2025-08-15T10:00:03+00:00,0.06,0.12,510.58,961.8
2025-08-15T10:00:03+00:00,0.06,0.12,505.43,945.16
2025-08-15T10:00:03+00:00,0.08,0.41,503.39,951.31
2025-08-15T10:00:03+00:00,0.06,0.1,507.19,955.71
2025-08-15T10:00:03+00:00,0.06,0.11,503.32,942.86
2025-08-15T10:00:03+00:00,0.07,0.32,496.17,947.79
2025-08-15T10:00:03+00:00,0.06,0.11,509.36,957.91
2025-08-15T10:00:03+00:00,0.06,0.09,502.22,948.34
2025-08-15T10:00:03+00:00,0.07,0.32,508.14,959.56
2025-08-15T10:00:03+00:00,0.06,0.1,500.35,941.73
2025-08-15T10:00:03+00:00,0.06,0.12,515.62,955.55
2025-08-15T10:00:03+00:00,0.07,0.29,502.59,948.01
2025-08-15T10:00:03+00:00,0.06,0.1,513.54,953.59
2025-08-15T10:00:03+00:00,0.06,0.1,507.34,950.71
2025-08-15T10:00:03+00:00,0.06,0.51,505.86,948.38
2025-08-15T10:00:03+00:00,0.06,0.13,506.06,950.75
2025-08-15T10:00:03+00:00,0.13,2.02,564.23,957.27
2025-08-15T10:00:03+00:00,0.07,0.13,507.79,949.1
2025-08-15T10:00:03+00:00,0.05,0.11,503.83,953.51
2025-08-15T10:00:03+00:00,0.05,0.1,504.76,952.22
2025-08-15T10:00:03+00:00,0.08,0.28,498.89,951.53
2025-08-15T10:00:03+00:00,0.06,0.1,510.07,949.86
2025-08-15T10:00:03+00:00,0.05,0.09,499.34,948.67
2025-08-15T10:00:03+00:00,0.06,0.1,506.99,953.82
2025-08-15T10:00:03+00:00,0.07,0.32,509.58,955.61
2025-08-15T10:00:03+00:00,0.06,0.09,497.46,948.41
2025-08-15T10:00:03+00:00,0.06,0.17,499.05,947.29
2025-08-15T10:00:03+00:00,0.07,0.35,504.63,953.79
2025-08-15T10:00:03+00:00,0.07,0.12,504.03,948.52
2025-08-15T10:00:03+00:00,0.07,0.12,510.76,950.25
2025-08-15T10:00:03+00:00,0.06,0.51,512.91,949.89
2025-08-15T10:00:03+00:00,0.06,0.1,511.11,955.23
2025-08-15T10:00:03+00:00,0.07,0.4,499.51,944.86
2025-08-15T10:00:03+00:00,0.06,0.1,507.14,957.2
2025-08-15T10:00:03+00:00,0.06,0.09,505.3,944.67
2025-08-15T10:00:03+00:00,0.06,0.48,503.58,958.7
2025-08-15T10:00:03+00:00,0.07,0.11,510.31,942.54
2025-08-15T10:00:03+00:00,0.06,0.12,519.59,957.4
2025-08-15T10:00:03+00:00,0.07,0.39,516.93,953.48
2025-08-15T10:00:03+00:00,0.07,0.12,507.7,950.94
2025-08-15T10:00:03+00:00,0.06,0.1,508.51,957.9
2025-08-15T10:00:03+00:00,0.05,0.1,500.51,951.25
2025-08-15T10:00:03+00:00,0.07,0.45,499.67,939.65
2025-08-15T10:00:03+00:00,0.06,0.11,504.54,954.49
2025-08-15T10:00:03+00:00,0.06,0.11,511.18,950.95
2025-08-15T10:00:03+00:00,0.08,0.31,503.58,948.98
2025-08-15T10:00:03+00:00,0.05,0.12,512.92,959.21
2025-08-15T10:00:03+00:00,0.07,0.11,506.19,946.05
2025-08-15T10:00:03+00:00,0.07,0.33,497.03,948.0
2025-08-15T10:00:03+00:00,0.06,0.11,504.85,949.1
2025-08-15T10:00:03+00:00,0.07,0.71,508.2,950.9
2025-08-15T10:00:03+00:00,0.08,0.14,500.44,953.17
2025-08-15T10:00:03+00:00,0.06,0.11,509.43,948.2
2025-08-15T10:00:03+00:00,0.06,0.1,510.14,952.57
2025-08-15T10:00:03+00:00,0.06,0.4,506.29,959.85
2025-08-15T10:00:03+00:00,0.06,0.11,497.55,944.24
2025-08-15T10:00:03+00:00,0.06,0.11,515.98,958.0
2025-08-15T10:00:03+00:00,0.06,0.1,496.08,947.65
2025-08-15T10:00:03+00:00,0.07,0.27,501.48,951.12
2025-08-15T10:00:03+00:00,0.06,0.1,499.65,947.78
2025-08-15T10:00:03+00:00,0.06,0.14,501.13,949.38
2025-08-15T10:00:03+00:00,0.06,0.64,505.97,948.93
2025-08-15T10:00:03+00:00,0.06,0.18,507.22,955.43
2025-08-15T10:00:03+00:00,0.06,0.12,506.26,943.42
2025-08-15T10:00:03+00:00,0.06,0.11,508.35,954.4
2025-08-15T10:00:03+00:00,0.07,0.41,503.65,947.91
2025-08-15T10:00:03+00:00,0.06,0.15,512.91,951.31
2025-08-15T10:00:03+00:00,0.06,0.1,513.55,948.38
2025-08-15T10:00:03+00:00,0.06,0.12,504.96,950.4
2025-08-15T10:00:03+00:00,0.07,0.56,510.32,952.81
2025-08-15T10:00:03+00:00,0.06,0.12,514.18,949.99
2025-08-15T10:00:03+00:00,0.06,0.11,505.97,954.65
2025-08-15T10:00:03+00:00,0.07,1.08,501.91,945.97
2025-08-15T10:00:03+00:00,0.06,0.11,497.69,950.85
2025-08-15T10:00:03+00:00,0.05,0.09,510.92,948.42
2025-08-15T10:00:03+00:00,0.07,0.62,503.04,953.17
2025-08-15T10:00:03+00:00,0.1,0.52,499.62,946.39
2025-08-15T10:00:03+00:00,0.09,0.2,499.45,950.93
2025-08-15T10:00:03+00:00,0.09,0.38,505.63,953.17
2025-08-15T10:00:03+00:00,0.09,0.64,498.27,953.3
2025-08-15T10:00:03+00:00,0.06,0.11,496.2,949.89
2025-08-15T10:00:03+00:00,0.06,0.13,507.76,945.35
2025-08-15T10:00:03+00:00,0.06,1.16,512.89,960.14
2025-08-15T10:00:03+00:00,0.07,0.19,511.32,950.89
2025-08-15T10:00:03+00:00,0.06,0.15,512.2,952.82
2025-08-15T10:00:03+00:00,0.06,0.1,500.94,941.31
2025-08-15T10:00:03+00:00,0.06,0.45,514.96,959.49
2025-08-15T10:00:03+00:00,0.06,0.09,501.99,950.86
2025-08-15T10:00:03+00:00,0.06,0.1,514.15,953.76
2025-08-15T10:00:03+00:00,0.09,0.44,500.63,949.64
2025-08-15T10:00:03+00:00,0.07,0.21,511.93,947.92
2025-08-15T10:00:03+00:00,0.06,0.1,512.86,957.11
2025-08-15T10:00:03+00:00,0.06,0.4,491.71,950.67
2025-08-15T10:00:03+00:00,0.06,0.11,503.0,947.4
2025-08-15T10:00:03+00:00,0.06,0.12,507.62,955.19
2025-08-15T10:00:03+00:00,0.07,0.42,503.06,943.79
2025-08-15T10:00:03+00:00,0.07,0.12,507.97,956.36
2025-08-15T10:00:03+00:00,0.07,0.61,505.47,948.68
2025-08-15T10:00:03+00:00,0.05,0.1,502.28,953.68
2025-08-15T10:00:03+00:00,0.06,0.13,509.95,950.06
2025-08-15T10:00:03+00:00,0.06,0.33,502.15,956.49
2025-08-15T10:00:03+00:00,0.06,0.13,503.43,953.16
2025-08-15T10:00:03+00:00,0.06,0.1,503.52,949.46
2025-08-15T10:00:03+00:00,0.06,0.33,497.32,942.64
2025-08-15T10:00:03+00:00,0.06,0.11,506.98,953.99
2025-08-15T10:00:03+00:00,0.06,0.12,500.66,955.01
2025-08-15T10:00:03+00:00,0.06,0.11,507.74,944.88
2025-08-15T10:00:03+00:00,0.08,0.33,503.72,946.22
2025-08-15T10:00:03+00:00,0.06,0.11,512.15,954.9
2025-08-15T10:00:03+00:00,0.07,0.13,506.59,950.7
2025-08-15T10:00:03+00:00,0.07,0.41,507.39,952.0
2025-08-15T10:00:03+00:00,0.06,0.12,497.43,952.09
2025-08-15T10:00:03+00:00,0.06,0.13,512.05,954.46
2025-08-15T10:00:03+00:00,0.06,0.11,505.7,945.26
2025-08-15T10:00:03+00:00,0.07,0.36,503.11,948.48
2025-08-15T10:00:03+00:00,0.06,0.08,511.66,949.48
2025-08-15T10:00:03+00:00,0.05,0.1,501.58,948.59
2025-08-15T10:00:03+00:00,0.06,0.77,501.78,954.32
2025-08-15T10:00:03+00:00,0.06,0.11,510.02,959.38
2025-08-15T10:00:03+00:00,0.06,0.1,503.82,945.65
2025-08-15T10:00:03+00:00,0.07,0.31,500.69,954.27
2025-08-15T10:00:03+00:00,0.06,0.12,497.39,950.76
2025-08-15T10:00:03+00:00,0.06,0.11,507.79,953.41
2025-08-15T10:00:03+00:00,0.07,0.63,504.68,950.28
2025-08-15T10:00:03+00:00,0.07,0.14,500.34,948.35
2025-08-15T10:00:03+00:00,0.06,0.12,508.17,950.4
2025-08-15T10:00:03+00:00,0.06,0.44,505.77,957.22
2025-08-15T10:00:03+00:00,0.07,0.11,509.92,949.85
2025-08-15T10:00:03+00:00,0.06,0.11,502.67,947.87
2025-08-15T10:00:03+00:00,0.07,0.12,510.06,952.43
2025-08-15T10:00:03+00:00,0.06,0.41,505.2,948.37
2025-08-15T10:00:03+00:00,0.06,0.13,500.43,951.35
2025-08-15T10:00:03+00:00,0.07,0.13,509.27,958.74
2025-08-15T10:00:03+00:00,0.07,0.12,504.65,943.02
2025-08-15T10:00:03+00:00,0.07,0.46,503.63,951.06
